Lanzamientos,Dado justo,Dado cargado
1,3,1
2,5,5
3,4,1
4,2,3
5,1,3
6,4,1
7,1,3
8,3,1
9,5,5
10,2,1
11,4,5
12,2,1
13,3,1
14,5,5
15,5,1
16,4,1
17,2,4
18,2,1
19,6,1
20,3,1
21,4,1
22,4,2
23,3,4
24,6,1
25,5,1
26,6,2
27,4,1
28,3,3
29,5,5
30,2,1
31,4,1
32,1,3
33,4,2
34,4,1
35,2,1
36,5,2
37,3,1
38,3,4
39,5,1
40,3,1
41,3,2
42,2,3
43,4,5
44,2,1
45,4,3
46,3,2
47,5,3
48,3,1
49,5,1
50,4,1
51,3,5
52,6,1
53,6,5
54,5,1
55,5,3
56,3,5
57,6,5
58,2,1
59,2,4
60,5,2
61,2,4
62,3,3
63,2,1
64,5,1
65,2,3
66,4,1
67,5,2
68,2,1
69,5,5
70,4,4
71,1,5
72,3,1
73,3,1
74,3,3
75,1,1
76,4,1
77,4,5
78,6,3
79,4,1
80,6,1
81,3,2
82,3,1
83,4,4
84,6,5
85,4,1
86,3,3
87,2,1
88,3,2
89,3,1
90,4,1
91,3,2
92,6,1
93,3,3
94,3,5
95,1,1
96,2,4
97,3,5
98,2,3
99,4,2
100,3,1
101,3,5
102,3,1
103,4,3
104,6,1
105,4,1
106,1,4
107,4,1
108,2,3
109,3,4
110,6,2
111,5,5
112,2,1
113,5,2
114,2,3
115,1,1
116,2,3
117,6,4
118,3,4
119,2,3
120,6,3
