Lanzamientos,Moneda Justa,Moneda Cargada
1,cara,sello
2,sello,cara
3,sello,sello
4,cara,sello
5,cara,sello
6,cara,sello
7,cara,sello
8,sello,sello
9,cara,sello
10,cara,cara
11,sello,cara
12,cara,cara
13,sello,cara
14,cara,cara
15,sello,cara
16,sello,cara
17,sello,sello
18,cara,cara
19,sello,sello
20,cara,cara
21,cara,sello
22,sello,sello
23,sello,sello
24,sello,cara
25,cara,sello
26,cara,cara
27,sello,cara
28,cara,cara
29,sello,sello
30,cara,sello
31,cara,sello
32,sello,sello
33,cara,sello
34,cara,sello
35,cara,sello
36,cara,cara
37,cara,cara
38,sello,cara
39,cara,sello
40,sello,cara
41,cara,sello
42,sello,sello
43,sello,sello
44,cara,cara
45,sello,sello
46,sello,sello
47,sello,cara
48,sello,sello
49,cara,cara
50,cara,cara
51,sello,cara
52,sello,sello
53,cara,cara
54,cara,sello
55,cara,cara
56,cara,sello
57,cara,sello
58,sello,sello
59,cara,cara
60,cara,sello
61,cara,sello
62,cara,sello
63,cara,cara
64,cara,cara
65,sello,sello
66,sello,sello
67,cara,cara
68,cara,sello
69,cara,cara
70,sello,cara
71,cara,cara
72,sello,cara
73,sello,sello
74,sello,cara
75,sello,cara
76,cara,sello
77,cara,cara
78,cara,cara
79,cara,sello
80,cara,sello
81,sello,cara
82,cara,cara
83,cara,sello
84,sello,cara
85,sello,cara
86,sello,cara
87,cara,sello
88,cara,cara
89,cara,sello
90,cara,cara
91,sello,cara
92,sello,sello
93,sello,cara
94,sello,sello
95,cara,sello
96,cara,sello
97,sello,sello
98,sello,cara
99,sello,sello
100,sello,cara
